Weight,RTF,LT4,LT3,frequency,Alt
90-130 ,0-5,87.5,5.0,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
90-130 ,6-10,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,11-15,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,16-20,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,21-25,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,26-30,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,31-35,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,36-40,50.0,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,41-45,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
90-130 ,46-50,50.0,2.5,1,No
90-130 ,51-55,50.0,2.5,1,No
90-130 ,56-60,37.5,2.5,1,No
90-130 ,61-65,37.5,2.5,1,No
90-130 ,66-70,25.0,2.5,1,No
90-130 ,71-75,25.0,2.5,1,No
90-130 ,76-80,25.0,2.5,1,No
90-130 ,81-85,12.5,2.5,1,No
90-130 ,86-90,12.5,2.5,1,No
90-130 ,91-100,0.0,0.0,0,No
131-170,0-5,100.0,5.0,1,87.5 µg LT4 + 7.5 µg LT3 (1x/day)
131-170,6-10,87.5,5.0,1,87.5 µg LT4 + 7.5 µg LT3 (1x/day)
131-170,11-15,87.5,5.0,1,No
131-170,16-20,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
131-170,21-25,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
131-170,26-30,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
131-170,31-35,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
131-170,36-40,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
131-170,41-45,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
131-170,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
131-170,51-55,50.0,2.5,1,No
131-170,56-60,37.5,2.5,1,No
131-170,61-65,37.5,2.5,1,No
131-170,66-70,25.0,2.5,1,No
131-170,71-75,25.0,2.5,1,No
131-170,76-80,12.5,2.5,1,No
131-170,81-85,12.5,2.5,1,No
131-170,86-90,12.5,0.0,0,No
131-170,91-100,0.0,0.0,0,No
171-200,0-5,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
171-200,6-10,87.5,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
171-200,11-15,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
171-200,16-20,87.5,5.0,1,75 µg LT4 + 5 µg LT3 (2x/day)
171-200,21-25,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
171-200,26-30,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
171-200,31-35,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
171-200,36-40,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
171-200,41-45,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
171-200,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
171-200,51-55,50.0,2.5,1,No
171-200,56-60,37.5,2.5,1,No
171-200,61-65,37.5,2.5,1,No
171-200,66-70,25.0,2.5,1,No
171-200,71-75,25.0,2.5,1,No
171-200,76-80,25.0,2.5,1,No
171-200,81-85,12.5,2.5,1,No
171-200,86-90,12.5,0.0,0,No
171-200,91-100,0.0,0.0,0,No
201-230,0-5,112.5,7.5,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
201-230,6-10,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
201-230,11-15,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
201-230,16-20,100.0,5.0,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
201-230,21-25,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,26-30,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,31-35,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,36-40,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,41-45,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,51-55,50.0,2.5,1,No
201-230,56-60,37.5,2.5,1,No
201-230,61-65,37.5,2.5,1,No
201-230,66-70,25.0,2.5,1,No
201-230,71-75,25.0,2.5,1,No
201-230,76-80,12.5,2.5,1,No
201-230,81-85,12.5,2.5,1,No
201-230,86-90,0.0,0.0,0,No
201-230,91-100,0.0,0.0,0,No
